"Active Ingredient (link to Specific Guidance)","URL","Type","Route","Dosage Form","RLD or RS Number","Date Recommended","psg filename"
"Lenacapavir Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_215973.pdf","Draft","Subcutaneous","Solution","215973","02/15/2024","PSG_215973.pdf"
"Lenalidomide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021880.pdf","Draft","Oral","Capsule","021880","10/30/2024","PSG_021880.pdf"
"Leniolisib Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_217759.pdf","Draft","Oral","Tablet","217759","08/22/2024","PSG_217759.pdf"
"Lenvatinib Mesylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206947.pdf","Draft","Oral","Capsule","206947","11/19/2024","PSG_206947.pdf"
"Lesinurad","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207988.pdf","Draft","Oral","Tablet","207988","10/30/2024","PSG_207988.pdf"
"Letermovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Letermovir_IV_infusion_solution_NDA_209940_RC_Oct_2018.pdf","Draft","IV Infusion, Subcutaneous","Solution","209940","11/28/2018","Letermovir_IV_infusion_solution_NDA_209940_RC_Oct_2018.pdf"
"Letermovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209939.pdf","Draft","Oral","Tablet","209939","10/30/2024","PSG_209939.pdf"
"Letrozole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020726.pdf","Draft","Oral","Tablet","020726","10/30/2024","PSG_020726.pdf"
"Letrozole;Ribociclib Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209935.pdf","Draft","Oral","Tablet","209935","10/30/2024","PSG_209935.pdf"
"Leucovorin Calcium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018342.pdf","Draft","Oral","Tablet","018342","10/30/2024","PSG_018342.pdf"
"Leuprolide Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019732.pdf","Draft","Injection","Injectable","019732                                                       020011                                                       020263","08/20/2021","PSG_019732.pdf"
"Leuprolide Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021343.pdf","Draft","Subcutaneous","Powder","021343","08/20/2021","PSG_021343.pdf"
"Leuprolide Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020517.pdf","Draft","Injection","Injectable","020517                                                       020708","08/20/2021","PSG_020517.pdf"
"Leuprolide Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021379.pdf","Draft","Subcutaneous","Powder","021379                                                       021488","02/17/2022","PSG_021379.pdf"
"Leuprolide Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021731.pdf","Draft","Subcutaneous","Powder","021731                                                       213150","02/17/2022","PSG_021731.pdf"
"Leuprolide Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021088.pdf","Draft","Implantation","Implant","021088","11/08/2021","PSG_021088.pdf"
"Leuprolide Acetate; Norethindrone Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_203696.pdf","Draft","Intramuscular, Oral","Injectable, Tablet","203696","11/08/2021","PSG_203696.pdf"
"Leuprolide Mesylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211488.pdf","Draft","Subcutaneous","Emulsion","211488","02/16/2023","PSG_211488.pdf"
"Levalbuterol Tartrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021730.pdf","Draft","Inhalation","Aerosol, Metered","021730","08/22/2024","PSG_021730.pdf"
"Levetiracetam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Levetiracetam_draft_Oral tab ER_RLD 22285_RC02-10.pdf","Draft","Oral","Tablet, Extended Release","022285","02/25/2010","Levetiracetam_draft_Oral tab ER_RLD 22285_RC02-10.pdf"
"Levetiracetam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021035.pdf","Draft","Oral","Tablet","021035","10/30/2024","PSG_021035.pdf"
"Levetiracetam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207958.pdf","Draft","Oral","Tablet, For Suspension","207958","10/30/2024","PSG_207958.pdf"
"Levetiracetam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_204417.pdf","Draft","Oral","Tablet, Extended Release","204417","09/16/2019","PSG_204417.pdf"
"Levocarnitine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018948.pdf","Draft","Oral","Tablet","018948","10/30/2024","PSG_018948.pdf"
"Levocetirizine Dihydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022064.pdf","Draft","Oral","Tablet","022064","10/30/2024","PSG_022064.pdf"
"Levocetirizine Dihydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209089.pdf","Draft","Oral","Tablet","209089","10/30/2024","PSG_209089.pdf"
"Levodopa","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209184.pdf","Draft","Inhalation","Powder","209184","05/16/2024","PSG_209184.pdf"
"Levofloxacin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020634.pdf","Draft","Oral","Tablet","020634","10/30/2024","PSG_020634.pdf"
"Levomilnacipran Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_204168.pdf","Draft","Oral","Capsule, Extended Release","204168","08/22/2024","PSG_204168.pdf"
"Levonorgestrel","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021045.pdf","Draft","Oral","Tablet","021045                                                       021998","10/30/2024","PSG_021045.pdf"
"Levonorgestrel","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_203159.pdf","Draft","Intrauterine","System","203159","11/19/2024","PSG_203159.pdf"
"Levonorgestrel","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021225.pdf","Draft","Intrauterine","Intrauterine Device","021225","01/22/2020","PSG_021225.pdf"
"Levorphanol Tartrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_008720.pdf","Draft","Oral","Tablet","008720","10/30/2024","PSG_008720.pdf"
"Levothyroxine sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Levothyroxine_Sodium capsules_NDA 021924_RC Oct 2018.pdf","Draft","Oral","Capsule","021924","11/28/2018","Levothyroxine_Sodium capsules_NDA 021924_RC Oct 2018.pdf"
"Levothyroxine Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Levothyroxine sodium_draft_Oral tab_RLD 021116              021210              021301              021342              021402_RC12-14.pdf","Draft","Oral","Tablet","021116                                                       021210                                                       021301                                                       021342                                                       021402","12/29/2014","Levothyroxine sodium_draft_Oral tab_RLD 021116              021210              021301              021342              021402_RC12-14.pdf"
"Lidocaine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_008048.pdf","Draft","Topical","Ointment","080198","05/18/2023","PSG_008048.pdf"
"Lidocaine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020612.pdf","Draft","Topical","Patch","020612","11/21/2019","PSG_020612.pdf"
"Lidocaine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207962.pdf","Draft","Topical","Patch","207962","11/17/2022","PSG_207962.pdf"
"Lidocaine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_008816.pdf","Draft","Topical","Jelly","008816                                                       201094","08/21/2023","PSG_008816.pdf"
"Lidocaine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022221.pdf","Draft","Ophthalmic","Gel","022221","05/16/2024","PSG_022221.pdf"
"Lidocaine; Prilocaine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Lidocaine; Prilocaine_draft_Topical cream_RLD 019941_RC12-14.pdf","Draft","Topical","Cream","019941","12/29/2014","Lidocaine; Prilocaine_draft_Topical cream_RLD 019941_RC12-14.pdf"
"Lifitegrast","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Lifitegrast_Ophthalmic solution drops_NDA 208073_RC Oct 2018.pdf","Draft","Ophthalmic","Solution/Drops","208073","11/28/2018","Lifitegrast_Ophthalmic solution drops_NDA 208073_RC Oct 2018.pdf"
"Linaclotide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202811.pdf","Draft","Oral","Capsule","202811","05/19/2022","PSG_202811.pdf"
"Linagliptin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_201280.pdf","Draft","Oral","Tablet","201280","10/30/2024","PSG_201280.pdf"
"Linagliptin; Metformin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Linagliptin; Metformin Hydrochloride_draft_Oral tab ER_RLD 208026_RC05-17.pdf","Draft","Oral","Tablet, Extended Release","208026","05/16/2017","Linagliptin; Metformin Hydrochloride_draft_Oral tab ER_RLD 208026_RC05-17.pdf"
"Linagliptin; Metformin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_201281.pdf","Draft","Oral","Tablet","201281","10/30/2024","PSG_201281.pdf"
"Linezolid","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021132.pdf","Draft","Oral","For Suspension","021132","10/30/2024","PSG_021132.pdf"
"Linezolid","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021130.pdf","Draft","Oral","Tablet","021130","10/30/2024","PSG_021130.pdf"
"Liothyronine Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_010379.pdf","Draft","Oral","Tablet","010379","02/17/2022","PSG_010379.pdf"
"Liraglutide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206321.pdf","Draft","Subcutaneous","Solution","206321","05/16/2024","PSG_206321.pdf"
"Liraglutide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022341.pdf","Draft","Subcutaneous","Solution","022341","11/19/2024","PSG_022341.pdf"
"Lisdexamfetamine Dimesylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208510.pdf","Draft","Oral","Tablet, Chewable","208510","10/30/2024","PSG_208510.pdf"
"Lisdexamfetamine Dimesylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021977.pdf","Draft","Oral","Capsule","021977","10/30/2024","PSG_021977.pdf"
"Lisinopril","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019777.pdf","Draft","Oral","Tablet","019777","10/30/2024","PSG_019777.pdf"
"Lithium Carbonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018152.pdf","Draft","Oral","Tablet, Extended Release","076691","05/18/2023","PSG_018152.pdf"
"Lithium Carbonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018027.pdf","Draft","Oral","Tablet, Extended Release","018027","05/18/2023","PSG_018027.pdf"
"Lithium Carbonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018558.pdf","Draft","Oral","Tablet","018558","05/18/2023","PSG_018558.pdf"
"Lithium Carbonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017812.pdf","Draft","Oral","Capsule","017812","05/18/2023","PSG_017812.pdf"
"Lofexidine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209229.pdf","Draft","Oral","Tablet","209229","10/30/2024","PSG_209229.pdf"
"Lomitapide Mesylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_203858.pdf","Draft","Oral","Capsule","203858","11/18/2020","PSG_203858.pdf"
"Lomustine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Lomustine_draft_Oral cap_RLD 017588_RC07-14.pdf","Draft","Oral","Capsule","017588","07/22/2014","Lomustine_draft_Oral cap_RLD 017588_RC07-14.pdf"
"Lonafarnib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213969.pdf","Draft","Oral","Capsule","213969","08/02/2022","PSG_213969.pdf"
"Loperamide Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020448.pdf","Draft","Oral","Tablet, Chewable","020448","10/30/2024","PSG_020448.pdf"
"Loperamide Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021855.pdf","Draft","Oral","Capsule","021855","10/30/2024","PSG_021855.pdf"
"Loperamide Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017694.pdf","Draft","Oral","Capsule","017694","10/30/2024","PSG_017694.pdf"
"Loperamide Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019487.pdf","Draft","Oral","Solution","019487","10/30/2024","PSG_019487.pdf"
"Loperamide Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019860.pdf","Draft","Oral","Tablet","019860","10/30/2024","PSG_019860.pdf"
"Loperamide Hydrochloride; Simethicone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Loperamide Hydrochloride; simethicone_draft_Oral tab_RLD 021140_RC09-15.pdf","Draft","Oral","Tablet","021140","09/18/2015","Loperamide Hydrochloride; simethicone_draft_Oral tab_RLD 021140_RC09-15.pdf"
"Loperamide Hydrochloride; Simethicone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020606.pdf","Draft","Oral","Tablet, Chewable","020606","10/30/2024","PSG_020606.pdf"
"Lopinavir; Ritonavir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Lopinavir; Ritonavir_draft_Oral cap_RLD 21226_RC09-12.pdf","Draft","Oral","Capsule","021226","09/19/2012","Lopinavir; Ritonavir_draft_Oral cap_RLD 21226_RC09-12.pdf"
"Lopinavir; Ritonavir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Lopinavir; Ritonavir_final_Oral tab_RLD 21906_RC09-12.pdf","Final","Oral","Tablet","021906","09/19/2012","Lopinavir; Ritonavir_final_Oral tab_RLD 21906_RC09-12.pdf"
"Loratadine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Loratadine_draft_Oral cap_RLD 021952_RC04-13.pdf","Draft","Oral","Capsule","021952","04/05/2013","Loratadine_draft_Oral cap_RLD 021952_RC04-13.pdf"
"Loratadine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021891.pdf","Draft","Oral","Tablet, Chewable","021891","10/30/2024","PSG_021891.pdf"
"Loratadine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019658.pdf","Draft","Oral","Tablet","019658","10/30/2024","PSG_019658.pdf"
"Loratadine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020704.pdf","Draft","Oral","Tablet, Orally Disintegrating","020704","10/30/2024","PSG_020704.pdf"
"Loratadine; Pseudoephedrine sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Loratadine Pseudoephedrine Oral Extended Release Tablet NDA 020470 RC Feb 2019.pdf","Draft","Oral","Tablet, Extended Release","020470","02/22/2019","Loratadine Pseudoephedrine Oral Extended Release Tablet NDA 020470 RC Feb 2019.pdf"
"Loratadine; Pseudoephedrine Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Loratadine; Pseudoephedrine Sulfate_draft_Oral tab ER_RLD 19670_RC08-10.pdf","Draft","Oral","Tablet, Extended Release","019670","08/30/2010","Loratadine; Pseudoephedrine Sulfate_draft_Oral tab ER_RLD 19670_RC08-10.pdf"
"Lorazepam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017794.pdf","Draft","Oral","Tablet","017794","10/30/2024","PSG_017794.pdf"
"Lorazepam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214826.pdf","Draft","Oral","Capsule, Extended Release","214826","05/19/2022","PSG_214826.pdf"
"Lorlatinib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210868.pdf","Draft","Oral","Tablet","210868","11/21/2019","PSG_210868.pdf"
"Losartan Potassium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020386.pdf","Draft","Oral","Tablet","020386","11/19/2024","PSG_020386.pdf"
"Loteprednol Etabonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020803.pdf","Draft","Ophthalmic","Suspension/Drops","020803","02/15/2024","PSG_020803.pdf"
"Loteprednol Etabonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210933.pdf","Draft","Ophthalmic","Suspension/Drops","210933","08/02/2022","PSG_210933.pdf"
"Loteprednol Etabonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202872.pdf","Draft","Ophthalmic","Gel","202872","09/16/2019","PSG_202872.pdf"
"Loteprednol Etabonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208219.pdf","Draft","Ophthalmic","Gel","208219","08/20/2021","PSG_208219.pdf"
"Loteprednol Etabonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020583.pdf","Draft","Ophthalmic","Suspension/Drops","020583","02/15/2024","PSG_020583.pdf"
"Loteprednol Etabonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210565.pdf","Draft","Ophthalmic","Suspension/Drops","210565","09/16/2019","PSG_210565.pdf"
"Loteprednol Etabonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_200738.pdf","Draft","Ophthalmic","Ointment","200738","02/15/2024","PSG_200738.pdf"
"Loteprednol Etabonate; Tobramycin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050804.pdf","Draft","Ophthalmic","Suspension/Drops","050804","02/15/2024","PSG_050804.pdf"
"Lotilaner","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_217603.pdf","Draft","Ophthalmic","Solution/Drops","217603","05/16/2024","PSG_217603.pdf"
"Lovastatin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021316.pdf","Draft","Oral","Tablet, Extended Release","021316","09/16/2019","PSG_021316.pdf"
"Loxapine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022549.pdf","Draft","Inhalation","Powder","022549","05/18/2023","PSG_022549.pdf"
"Lubiprostone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Lubiprostone_draft_Oral cap_RLD 21908_RC07-15.pdf","Draft","Oral","Capsule","021908","07/17/2015","Lubiprostone_draft_Oral cap_RLD 21908_RC07-15.pdf"
"Luliconazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_204153.pdf","Draft","Topical","Cream","204153","10/21/2022","PSG_204153.pdf"
"Lumasiran Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214103.pdf","Draft","Subcutaneous","Solution","214103","08/21/2023","PSG_214103.pdf"
"Lumateperone Tosylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209500.pdf","Draft","Oral","Capsule","209500","10/30/2024","PSG_209500.pdf"
"Lurasidone Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_200603.pdf","Draft","Oral","Tablet","200603","10/30/2024","PSG_200603.pdf"
"Lurbinectedin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213702.pdf","Draft","Intravenous","Powder","213702","11/08/2021","PSG_213702.pdf"
"Lusutrombopag","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210923.pdf","Draft","Oral","Tablet","210923","10/30/2024","PSG_210923.pdf"
"Lutetium Dotatate Lu 177","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208700.pdf","Draft","Intravenous","Solution","208700","11/21/2019","PSG_208700.pdf"
"Lutetium Lu-177 Vipivotide Tetraxetan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_215833.pdf","Draft","Intravenous","Solution","215833","08/21/2023","PSG_215833.pdf"
"Macimorelin acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Macimorelin Acetate_Oral solution_NDA 205598_RC Oct 2018.pdf","Draft","Oral","Solution","205598","11/28/2018","Macimorelin Acetate_Oral solution_NDA 205598_RC Oct 2018.pdf"
"Macitentan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_204410.pdf","Draft","Oral","Tablet","204410","10/30/2024","PSG_204410.pdf"
"Macitentan; Tadalafil","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_218490.pdf","Draft","Oral","Tablet","218490","11/19/2024","PSG_218490.pdf"
"Magnesium Hydroxide;Omeprazole;Sodium Bicarbonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Omeprazole;_Sodium_Bicarbonate;_Magnesium_Hydroxide_chew_21850_RC2-08.pdf","Draft","Oral","Tablet, Chewable","021850","04/06/2008","Omeprazole;_Sodium_Bicarbonate;_Magnesium_Hydroxide_chew_21850_RC2-08.pdf"
"Magnesium sulfate; Polyethylene glycol 3350; Potassium chloride; Sodium chloride; Sodium sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_215344.pdf","Draft","Oral","For Solution","215344","11/19/2024","PSG_215344.pdf"
"Magnesium Sulfate; Potassium Chloride; Sodium Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213135.pdf","Draft","Oral","Tablet","213135","11/17/2022","PSG_213135.pdf"
"Malathion","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Malathion_draft_Topical lotion_RLD 18613_RC06-12.pdf","Draft","Topical","Lotion","018613","06/14/2012","Malathion_draft_Topical lotion_RLD 18613_RC06-12.pdf"
"Mannitol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022368.pdf","Draft","Inhalation","Powder","022368","02/15/2024","PSG_022368.pdf"
"Mannitol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202049.pdf","Draft","Inhalation","Powder","202049","02/15/2024","PSG_202049.pdf"
"Maralixibat Chloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214662.pdf","Draft","Oral","Solution","214662","08/21/2023","PSG_214662.pdf"
"Maraviroc","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022128.pdf","Draft","Oral","Tablet","022128","10/30/2024","PSG_022128.pdf"
"Maribavir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_215596.pdf","Draft","Oral","Tablet","215596","10/30/2024","PSG_215596.pdf"
"Mavacamten","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214998.pdf","Draft","Oral","Capsule","214998","10/30/2024","PSG_214998.pdf"
"Mebendazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Mebendazole_draft_Oral tab chewable_RLD 17481_RC02-09.pdf","Draft","Oral","Tablet, Chewable","017481","02/01/2009","Mebendazole_draft_Oral tab chewable_RLD 17481_RC02-09.pdf"
"Mebendazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Mebendazole_draft_Oral tab chewable_RLD 208398_RC02-18.pdf","Draft","Oral","Tablet, Chewable","208398","02/08/2018","Mebendazole_draft_Oral tab chewable_RLD 208398_RC02-18.pdf"
"Mecamylamine hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_010251.pdf","Draft","Oral","Tablet","010251","10/30/2024","PSG_010251.pdf"
"Mechlorethamine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202317.pdf","Draft","Topical","Gel","202317","02/16/2023","PSG_202317.pdf"
"Meclizine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Meclizine Hydrochloride_draft_Oral tab chewable_RLD 10721_RC04-10.pdf","Draft","Oral","Tablet, Chewable","010721","04/20/2010","Meclizine Hydrochloride_draft_Oral tab chewable_RLD 10721_RC04-10.pdf"
"Meclizine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Meclizine_tab_10721_RC12-09.pdf","Draft","Oral","Tablet","010721","12/17/2009","Meclizine_tab_10721_RC12-09.pdf"
"Medroxyprogesterone Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_012541.pdf","Draft","Injection","Injectable","012541","08/02/2022","PSG_012541.pdf"
"Medroxyprogesterone Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020246.pdf","Draft","Injection","Injectable","020246","08/02/2022","PSG_020246.pdf"
"Medroxyprogesterone Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_011839.pdf","Draft","Oral","Tablet","011839","10/30/2024","PSG_011839.pdf"
"Mefenamic Acid","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_015034.pdf","Draft","Oral","Capsule","015034","10/30/2024","PSG_015034.pdf"
"Mefloquine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Mefloquine Hydrochloride_final_Oral tab_RLD 76175_RC05-08.pdf","Final","Oral","Tablet","076175","05/12/2008","Mefloquine Hydrochloride_final_Oral tab_RLD 76175_RC05-08.pdf"
"Megestrol Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020264.pdf","Draft","Oral","Suspension","020264","10/30/2024","PSG_020264.pdf"
"Megestrol Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Megestrol Acetate_draft_Oral susp_RLD 21778_RC02-10.pdf","Draft","Oral","Suspension","021778","02/25/2010","Megestrol Acetate_draft_Oral susp_RLD 21778_RC02-10.pdf"
"Meloxicam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207233.pdf","Draft","Oral","Capsule","207233","10/30/2024","PSG_207233.pdf"
"Meloxicam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021530.pdf","Draft","Oral","Suspension","021530","10/30/2024","PSG_021530.pdf"
"Meloxicam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020938.pdf","Draft","Oral","Tablet","020938","10/30/2024","PSG_020938.pdf"
"Meloxicam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211210.pdf","Draft","Oral","Tablet, Orally Disintegrating","211210","10/30/2024","PSG_211210.pdf"
"Meloxicam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210583.pdf","Draft","Intravenous","Solution","210583","08/02/2022","PSG_210583.pdf"
"Melphalan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Melphalan_draft_Oral tab_RLD 14691_RC07-09.pdf","Draft","Oral","Tablet","014691","07/01/2009","Melphalan_draft_Oral tab_RLD 14691_RC07-09.pdf"
"Memantine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021487.pdf","Draft","Oral","Tablet","021487","10/30/2024","PSG_021487.pdf"
"Memantine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022525.pdf","Draft","Oral","Capsule, Extended Release","022525","08/22/2024","PSG_022525.pdf"
"Memantine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021487-ODT.pdf","Draft","Oral","Tablet, Orally Disintegrating","021487","11/19/2024","PSG_021487-ODT.pdf"
"Menthol; Methyl Salicylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022029.pdf","Draft","Topical","Patch","022029","11/21/2019","PSG_022029.pdf"
"Meprobamate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Meprobamate_final_Oral tab_RLD 009698_RC10-11.pdf","Final","Oral","Tablet","009698","10/28/2011","Meprobamate_final_Oral tab_RLD 009698_RC10-11.pdf"
"Mercaptopurine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Mercaptopurine_draft_Oral tab_RLD 040528_RC04-11.pdf","Draft","Oral","Tablet","040528","04/01/2011","Mercaptopurine_draft_Oral tab_RLD 040528_RC04-11.pdf"
"Mercaptopurine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Mercaptopurine_draft_Oral susp_RLD 205919_RC01-16.pdf","Draft","Oral","Suspension","205919","01/27/2016","Mercaptopurine_draft_Oral susp_RLD 205919_RC01-16.pdf"
